"AreaID","Kingdom","Class","Family","ScientificName","CommonName","Superseded","NCA","EPBC","Endemicity","WetlandStatus"
"national-park-maleny","animals","birds","Rallidae","Amaurornis moluccana","pale-vented bush-hen",,"C",,"QAI",,
"national-park-maleny","animals","birds","Rallidae","Fulica atra","Eurasian coot",,"C",,"QAI","I",
"national-park-maleny","animals","birds","Rallidae","Gallinula tenebrosa","dusky moorhen",,"C",,"QAI","I",
"national-park-maleny","animals","birds","Rallidae","Gallirallus philippensis","buff-banded rail",,"C",,"QAI",,
"national-park-maleny","animals","birds","Rallidae","Lewinia pectoralis","Lewin's rail",,"C",,"QAI",,
"national-park-maleny","animals","birds","Rallidae","Porphyrio melanotus","purple swamphen",,"C",,"QAI",,
"national-park-maleny","animals","birds","Rallidae","Zapornia pusilla","Baillon's crake",,"C",,"QAI","I",
"national-park-maleny","animals","birds","Falconidae","Falco berigora","brown falcon",,"C",,"QAI",,
"national-park-maleny","animals","birds","Falconidae","Falco cenchroides","nankeen kestrel",,"C",,"QAI",,
"national-park-maleny","animals","birds","Falconidae","Falco longipennis","Australian hobby",,"C",,"QAI",,
"national-park-maleny","animals","birds","Falconidae","Falco peregrinus macropus","Australian peregrine falcon",,"C",,"QA",,
"national-park-maleny","animals","birds","Accipitridae","Accipiter cirrocephalus","collared sparrowhawk",,"C",,"QAI",,
"national-park-maleny","animals","birds","Accipitridae","Accipiter fasciatus","brown goshawk",,"C",,"QAI",,
"national-park-maleny","animals","birds","Accipitridae","Accipiter novaehollandiae","grey goshawk",,"C",,"QAI",,
"national-park-maleny","animals","birds","Accipitridae","Aquila audax","wedge-tailed eagle",,"C",,"QAI",,
"national-park-maleny","animals","birds","Accipitridae","Aviceda subcristata","Pacific baza",,"C",,"QAI",,
"national-park-maleny","animals","birds","Accipitridae","Circus approximans","swamp harrier",,"C",,"QAI",,
"national-park-maleny","animals","birds","Accipitridae","Elanus axillaris","black-shouldered kite",,"C",,"QAI",,
"national-park-maleny","animals","birds","Accipitridae","Erythrotriorchis radiatus","red goshawk",,"E","E","QA",,
"national-park-maleny","animals","birds","Accipitridae","Haliaeetus leucogaster","white-bellied sea-eagle",,"C",,"QAI",,
"national-park-maleny","animals","birds","Accipitridae","Haliastur indus","brahminy kite",,"C",,"QAI",,
"national-park-maleny","animals","birds","Accipitridae","Haliastur sphenurus","whistling kite",,"C",,"QAI",,
"national-park-maleny","animals","birds","Accipitridae","Milvus migrans","black kite",,"C",,"QAI",,
"national-park-maleny","animals","birds","Pandionidae","Pandion haliaetus cristatus","eastern osprey",,"SL",,"QAI",,
"national-park-maleny","animals","birds","Threskiornithidae","Platalea flavipes","yellow-billed spoonbill",,"C",,"QA","I",
"national-park-maleny","animals","birds","Threskiornithidae","Platalea regia","royal spoonbill",,"C",,"QAI","I",
"national-park-maleny","animals","birds","Threskiornithidae","Threskiornis molucca","Australian white ibis",,"C",,"QAI",,
"national-park-maleny","animals","birds","Threskiornithidae","Threskiornis spinicollis","straw-necked ibis",,"C",,"QAI",,
"national-park-maleny","animals","birds","Ardeidae","Ardea alba modesta","eastern great egret",,"C",,"QAI","I",
"national-park-maleny","animals","birds","Ardeidae","Ardea intermedia","intermediate egret",,"C",,"QAI","I",
"national-park-maleny","animals","birds","Ardeidae","Ardea pacifica","white-necked heron",,"C",,"QA","I",
"national-park-maleny","animals","birds","Ardeidae","Ardea sumatrana","great-billed heron",,"C",,"QAI","I",
"national-park-maleny","animals","birds","Ardeidae","Bubulcus ibis","cattle egret",,"C",,"QAI",,
"national-park-maleny","animals","birds","Ardeidae","Butorides striata","striated heron",,"C",,"QAI","I",
